"","spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1269460","32gKenhuc62phw2Uyxyinl","CARTIER LINSER","ICEKIID",47,-5,-7,"DK","2024-06-08",59,"False",146192,"AFRO DANSKER II","2024-04-26",0.873,0.849,2,-3.775,1,0.104,0.0665,0,0.334,0.798,122.981,4
"1521483","30D9x5LFgL2o9xidjX2wtE","Casanova","Soolking, Gazo",31,-8,-7,"FR","2024-03-29",79,"False",189090,"Casanova","2023-07-06",0.801,0.832,7,-4.579,0,0.208,0.677,2.86e-05,0.117,0.758,132.044,4
"178486","0FTmksd2dxiE5e3rWyJXs6","back to friends","sombr",13,4,5,"IE","2025-04-15",90,"False",199032,"back to friends","2024-12-27",0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
"1589412","3wyzSQ9rAWjx9vsMQSrLn2","ไม่เปลี่ยนเลย (Best Luck)","fellow fellow",23,-1,-3,"TH","2024-03-08",69,"False",190000,"ไม่เปลี่ยนเลย (Best Luck)","2023-12-07",0.629,0.65,11,-7.994,1,0.0487,0.0512,0,0.17,0.624,137.888,4
"1063052","2LwLdMMTnZgDggYoUxXn8d","Baba","Gheboasă, Alberto Guta",39,-2,-9,"RO","2024-08-03",56,"False",138000,"Baba","2024-04-24",0.695,0.942,8,-5.148,0,0.0759,0.136,1.83e-06,0.337,0.915,170.054,4
"857970","0cnbEf12FLBWx9QnBlw1EL","Ama Gear","Dlala Thukzin, Funky Qla, Zee Nxumalo, MK Productions",7,0,2,"ZA","2024-09-28",60,"False",425338,"031 Studio Camp","2024-07-03",0.769,0.535,3,-13.9,0,0.0473,0.482,0.764,0.0787,0.534,118.008,4
"2065835","1U3A66OHQyTu4N2QTMsP86","GRACIAS POR NADA","Bad Bunny",41,-6,-7,"CR","2023-10-30",88,"True",177450,"nadie sabe lo que va a pasar mañana","2023-10-13",0.778,0.555,6,-5.473,0,0.231,0.325,0,0.111,0.271,143.916,4
"119210","5uh8vQEAZeIFEYhAg52BNS","Benden Sonra","Rıza Tamer",13,-1,-3,"TR","2025-05-09",79,"False",163548,"Benden Sonra","2025-03-28",0.564,0.522,10,-6.316,0,0.0674,0.782,0,0.0978,0.561,129.898,4
"1286974","2lMQOAKPam2JVEfNsZtWDe","Tak Dianggap","Lyodra",11,3,2,"ID","2024-06-03",80,"False",179841,"Tak Dianggap","2023-08-17",0.614,0.438,2,-5.737,1,0.0433,0.802,0,0.213,0.302,126,4
"269536","7bywjHOc0wSjGGbj04XbVi","LUNA","Feid, ATL Jacob",45,-3,5,"CL","2025-03-21",88,"False",196800,"FERXXOCALIPSIS","2023-12-01",0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4
"1899780","33EVpTZhoyQw1mStrZTKfO","Jul, jul strålande jul","Carola",47,2,3,"SE","2023-12-14",66,"False",160333,"Carolas jul","1991-11-22",0.255,0.113,0,-15.264,1,0.0337,0.931,1.08e-05,0.273,0.199,109.464,1
"139515","60u6hcpH5Qm1M3xESdNBrB","frente al mar","Beéle",25,0,25,"DO","2025-05-04",85,"False",165178,"frente al mar","2024-09-26",0.75,0.682,10,-3.825,1,0.0945,0.168,1.28e-06,0.112,0.618,100.036,4
