"","spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1197027","2hIFhSltVcRU1oJ3kf8Zy4","Sugardaddy","Roxy Dekker",14,2,4,"BE","2024-06-28",75,"False",131796,"Sugardaddy","2024-04-04",0.84,0.856,1,-3.743,1,0.112,0.215,0.00071,0.0651,0.794,127.046,4
"938820","5fZJQrFKWQLb7FpJXZ1g7K","A Bar Song (Tipsy)","Shaboozey",7,-1,-5,"SE","2024-09-06",88,"True",171291,"Where I've Been, Isn't Where I'm Going","2024-05-31",0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
"2058579","54zcJnb3tp9c5OVKREZ1Is","MI EX TENÍA RAZÓN","KAROL G",17,-4,-2,"CO","2023-11-01",89,"False",154374,"MAÑANA SERÁ BONITO (BICHOTA SEASON)","2023-08-10",0.634,0.725,5,-4.945,0,0.0587,0.0776,0,0.211,0.795,159.845,4
"1949230","3YZE5qDV7u1ZD1gZc47ZeR","Underneath the Tree","Kelly Clarkson",47,-13,3,"EE","2023-12-01",80,"False",229640,"Wrapped In Red","2013-10-29",0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,4
"979223","6rCz0E0G6El6irdft7Zjgp","Falochrony","Roxie Węgiel, Mata",10,1,40,"PL","2024-08-26",56,"False",169142,"Falochrony","2024-08-23",0.736,0.698,10,-7.316,0,0.0475,0.104,2.46e-05,0.069,0.519,104.975,4
"1098795","1mea3bSkSGXuIRvnydlB5b","Viva La Vida","Coldplay",32,-4,2,"","2024-07-24",87,"False",242373,"Viva La Vida or Death and All His Friends","2008-05-26",0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
"1578550","42VsgItocQwOQC3XWZ8JNA","FE!N (feat. Playboi Carti)","Travis Scott, Playboi Carti",11,0,-1,"SK","2024-03-11",93,"True",191700,"UTOPIA","2023-07-28",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
"887945","6XbtvPmIpyCbjuT0e8cQtp","Columbia","Quevedo",32,-2,-2,"PY","2024-09-20",84,"False",186000,"Columbia","2023-07-07",0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,4
"1971532","31nfdEooLEq7dn3UMcIeB5","Vois sur ton chemin - Techno Mix","BENNETT",6,-1,-2,"CH","2023-11-25",90,"False",178156,"Vois sur ton chemin (Techno Mix)","2023-08-04",0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
"1878272","2KslE17cAJNHTsI2MI0jb2","Standing Next to You","Jung Kook",39,2,-5,"PE","2023-12-20",97,"False",206019,"GOLDEN","2023-11-03",0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4
"1290446","0uHrMbMv3c78398pIANDqR","Europapa","Joost",33,9,-8,"IS","2024-06-02",87,"False",160218,"Europapa","2024-02-29",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
"656506","32pFur6ytKmk43I5gtX7W4","Откачила","Selina, Medi",20,2,2,"BG","2024-11-24",45,"False",175483,"Откачила","2024-02-29",0.615,0.906,5,-4.144,0,0.183,0.0926,0,0.284,0.648,186.186,4
"1675692","6tNQ70jh4OwmPGpYy6R2o9","Beautiful Things","Benson Boone",16,7,-2,"DK","2024-02-14",96,"False",180304,"Beautiful Things","2024-01-18",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
"521032","4ZXIRnU7kU6HCxjIUEVgoH","Gyere Kislány","Fehér Krisztián, Burai",23,-3,-10,"HU","2025-01-10",57,"False",216521,"Gyere Kislány","2024-09-07",0.794,0.612,4,-8.778,0,0.436,0.527,0,0.53,0.885,91.828,4
"783887","17phhZDn6oGtzMe56NuWvj","Lose Control","Teddy Swims",17,2,2,"GB","2024-10-19",89,"False",210688,"I've Tried Everything But Therapy (Part 1)","2023-09-15",0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
"2109115","68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","J. Cole",49,1,0,"GB","2023-10-18",91,"True",292799,"2014 Forest Hills Drive","2014-12-09",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
"346169","2Uts1QFB4u2YNIMiqcb4de","peekaboo (feat. azchike)","Kendrick Lamar, Az Chike",33,0,-11,"US","2025-02-27",84,"True",155917,"GNX","2024-11-22",0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4
"171903","1C5jDtYftdFtHNG6iLVyCA","La Jama","Jombriel, Waldokinc El Troyano, Jøtta",30,5,0,"EC","2025-04-17",66,"True",224006,"La Jama","2024-11-13",0.714,0.752,6,-2.283,1,0.161,0.0146,0.000414,0.062,0.659,179.992,4
"1134797","2OzhQlSqBEmt7hmkYxfT6m","Fortnight (feat. Post Malone)","Taylor Swift, Post Malone",34,4,-10,"CA","2024-07-15",92,"False",228965,"THE TORTURED POETS DEPARTMENT","2024-04-18",0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4
"171884","61C7zXd4t2Zuhz6DRwgsLM","Volver","Piso 21, Marc Anthony, Beéle",11,3,3,"EC","2025-04-17",85,"False",232149,"Volver","2025-02-06",0.478,0.793,11,-4.449,1,0.387,0.235,0,0.146,0.604,92.294,4
"1154720","7221xIgOnuakPdLqT0F3nP","I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen",7,0,0,"NO","2024-07-09",95,"True",178205,"I Had Some Help","2024-05-10",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,4
"724909","1AddbBdKFz8wdqatGVSsYS","Es Un Secreto","Plan B",35,-2,3,"PE","2024-11-04",70,"False",192053,"Cipote Carnaval 2011","2011-06-20",0.838,0.732,6,-6.266,0,0.0432,0.114,1.49e-06,0.0682,0.525,95.011,4
"1227597","6BpZpCM8d8FJnVnr1IbnFL","GATITAS SANDUNGUERAS VOL.1","Alvaro Diaz, Feid",34,-5,-23,"PA","2024-06-19",80,"False",131853,"SAYONARA","2024-05-17",0.769,0.842,1,-3.164,1,0.0446,0.169,3.23e-05,0.266,0.417,97.04,4
"1364518","7iQXYTyuG13aoeHxGG28Nh","PERRO NEGRO","Bad Bunny, Feid",5,0,0,"CO","2024-05-13",90,"True",162767,"nadie sabe lo que va a pasar mañana","2023-10-13",0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,4
"810131","1UHS8Rf6h5Ar3CDWRd3wjF","Bed Chem","Sabrina Carpenter",14,1,-1,"CA","2024-10-12",92,"False",171869,"Short n' Sweet","2024-08-23",0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99,4
"378688","50zAEIE4B1QqhPjRMK2Xmh","Running Wild","Jin",4,-1,0,"TW","2025-02-18",79,"False",151646,"Happy - :') (Remixes)","2024-11-19",0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4
"693873","1yZIX0bRGjVH6CqyUW8Dkw","STORIE BREVI","Tananai, Annalisa",37,-9,-6,"IT","2024-11-13",61,"False",175153,"CALMOCOBRA","2024-10-17",0.833,0.671,7,-4.993,0,0.109,0.0638,0,0.102,0.934,129.991,4
"1699463","0pZ1RKuQnKK3TetoSHyx7i","Lagabog","Skusta Clee, Illest Morena",37,5,13,"PH","2024-02-07",68,"False",186812,"Lagabog","2023-12-16",0.713,0.778,10,-4.02,0,0.0826,0.0219,0,0.132,0.514,92.401,4
"388561","2nwa6nS5lXnsvwX48RWkbS","Que Te Vaya Bien","Santaferia, Grupo Zúmbale Primo",39,11,-4,"CL","2025-02-16",64,"False",175694,"Que Te Vaya Bien","2022-09-02",0.638,0.935,2,-2.631,1,0.0582,0.0878,0,0.19,0.871,150.067,4
"596712","1eZefeDb8uOsjvcbl1fJrG","Naina (From ""Crew"")","Diljit Dosanjh, Badshah, Raj Ranjodh",26,1,-7,"IN","2024-12-20",77,"False",180000,"Naina (From ""Crew"")","2024-03-05",0.84,0.715,0,-5.141,1,0.187,0.176,0,0.0935,0.542,96.98,4
"72038","3LPLRNr58Z9Pn0clnEtkXb","Anxiety","Doechii",41,2,-13,"","2025-05-22",86,"True",249302,"Alligator Bites Never Heal (Extended)","2025-03-14",0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
"476403","5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","Arctic Monkeys",35,-2,7,"SA","2025-01-22",90,"False",183956,"AM","2013-09-09",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
"898848","1LiN0Z98FkR1t0m8KmLcAH","Amanece","Anuel AA, Haze",35,-2,5,"PY","2024-09-17",81,"False",190004,"Amanece","2018-12-14",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,4
"655801","7brXEcKHruLMO9yY2v6NLS","lähis-ida","säm",15,35,35,"EE","2024-11-24",23,"False",211071,"Südamelt ära","2024-11-22",0.773,0.575,9,-10.156,0,0.07,0.623,3.79e-05,0.118,0.509,112.007,4
"1920549","1P9oRiZJWnxe2pZmYUZ5eC","Это любовь","Skryptonite",16,-1,-5,"BY","2023-12-09",65,"True",279250,"Дом с нормальными явлениями","2015-01-01",0.358,0.416,0,-10.972,0,0.0596,0.325,0.356,0.173,0.128,139.945,3
"2037889","2UW7JaomAMuX9pZrjVpHAU","La Bebe - Remix","Yng Lvcas, Peso Pluma",31,2,2,"SV","2023-11-06",92,"True",234352,"La Bebe (Remix)","2023-03-17",0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4
"888347","4uzKAj0mIyYmyhsRRyPXaQ","Carry You Home","Alex Warren",34,-4,-7,"NO","2024-09-20",85,"False",166880,"Carry You Home","2024-05-31",0.525,0.66,10,-7.094,1,0.111,0.468,3.3e-06,0.128,0.458,123.787,4
"1825486","3cDyocF0Ibdfs1SFQk5cLZ","Lollipop","Darell",27,23,-2,"CO","2024-01-04",89,"True",199946,"EVERYBODY GO TO THE DISCOTEK","2023-07-28",0.822,0.711,6,-4.943,1,0.0668,0.179,1.46e-05,0.083,0.934,102.984,4
"1101835","76NtZCaYVQHxEkB6mrm1DQ","SOLO DIME","Jere Klein, El BAI, Dj Osar, Mateo on the Beatz",22,-3,-9,"CL","2024-07-24",71,"True",199062,"PROYECTO A-KLEIN","2024-05-30",0.756,0.536,9,-10.151,1,0.0675,0.00618,0,0.163,0.228,100.014,4
"142024","58rVY9wmIYBOzdLXygVs6i","Mood","KeBlack",34,0,16,"LU","2025-05-03",74,"True",171537,"Focus","2024-11-22",0.752,0.694,11,-7.437,0,0.117,0.151,0.0713,0.132,0.696,127.045,4
"173490","42JjxAcdxkqNOkx1HpPizt","Alla Ska Dö","Bolaget",17,1,-6,"SE","2025-04-16",67,"False",166234,"Alla Ska Dö","2025-03-19",0.568,0.798,11,-8.673,0,0.261,0.159,0,0.0403,0.752,159.931,4
"1039614","1OWQtElgSSmAcIT6fZLJ6R","Narcos","Hard Rico, Yzomandias",1,0,0,"CZ","2024-08-10",66,"True",191250,"Narcos","2024-05-31",0.882,0.636,9,-6.876,0,0.212,0.12,0,0.0926,0.458,128.046,4
"1371350","6rtBssnmtGi5ZaZxQLicU1","Synnytty saunomaan","Olli Halonen",37,13,13,"FI","2024-05-11",16,"False",159573,"Synnytty saunomaan","2024-05-10",0.575,0.871,2,-4.533,0,0.05,0.636,0,0.0768,0.632,167.802,4
"1696413","09CnYHiZ5jGT1wr1TXJ9Zt","Thank You (Not So Bad)","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",37,2,13,"LU","2024-02-08",87,"False",140000,"Thank You (Not So Bad)","2023-12-01",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
"2083901","2HafqoJbgXdtjwCOvNEF14","Si No Estás","iñigo quintero",8,1,1,"EC","2023-10-25",97,"False",184061,"Si No Estás","2022-09-23",0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,4
"2096235","3qMYr2bVu2HpSKrSJ2zj8K","แอบหวัง","Anatomy Rabbit",38,-2,12,"TH","2023-10-21",68,"False",235058,"แอบหวัง","2021-01-07",0.422,0.391,2,-8.529,1,0.0359,0.548,0.189,0.14,0.628,170.401,4
"1997356","6Es8Sk3xe1HiJ2MXCfHHwR","La_Original.mp3","Emilia, TINI",1,0,0,"AR","2023-11-18",79,"False",140625,".mp3","2023-11-03",0.833,0.809,5,-2.751,0,0.0381,0.0836,0,0.112,0.905,128.055,4
"215907","5ITV0zqzjOYfFWpW0xBmRa","Show Me Love","WizTheMc, bees & honey",5,0,6,"AT","2025-04-05",90,"False",176965,"Show Me Love","2025-02-07",0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"1307909","6XbtvPmIpyCbjuT0e8cQtp","Columbia","Quevedo",46,-3,-7,"PA","2024-05-28",85,"False",186000,"Columbia","2023-07-07",0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,4
"1861142","25OeKzcqakFPaJlXHPE5lm","Primera Cita","Carin Leon",9,2,0,"HN","2023-12-25",86,"False",186455,"Colmillo De Leche","2023-05-19",0.535,0.395,10,-7.805,1,0.0634,0.597,6.78e-05,0.0969,0.488,157.795,3
"1617544","0sX1JCSfCemDJe8qK6CGeL","Bendito (Soundtrack Baby Bandito: La Serie)","Pailita",9,1,-2,"CL","2024-03-01",74,"True",159583,"Bendito (Soundtrack Baby Bandito: La Serie)","2024-01-25",0.82,0.875,9,-5.231,1,0.0918,0.0106,1.44e-05,0.0971,0.816,97.957,4
"24564","569xAmXCkpM3IsEOiG4hWe","Ultra Complicado (feat. Sebas) - Remix","Kenny Die, Blessd, Kris R., Sebas",14,1,3,"CO","2025-06-05",80,"False",257333,"Ultra Complicado (feat. Sebas) [Remix]","2025-02-14",0.518,0.613,6,-5.377,1,0.277,0.217,1.47e-05,0.18,0.314,89.758,4
"1160982","5ha7HmgsLaYNwCIA1TClnO","CEO","Mesita, Duki",19,-2,-4,"UY","2024-07-07",71,"False",169146,"CEO","2024-06-18",0.677,0.761,4,-3.793,0,0.0803,0.344,0,0.201,0.529,157.912,4
"427576","7r0sYhhoM4hjeuCDlbCobZ","DOLCE GABBANA","TOQUEL, FLY LO, Beyond",4,1,1,"GR","2025-02-05",69,"True",156069,"ILEGAL","2024-11-28",0.872,0.645,11,-6.897,0,0.179,0.447,1.29e-06,0.194,0.499,95.055,4
"1807067","6bJJTDQthQY85h4W1l0vad","Hvor Som Helst","Tessa",43,3,7,"DK","2024-01-09",60,"True",136218,"Tessas Hævn (Igen Bitch)","2023-07-07",0.833,0.672,4,-5.116,0,0.198,0.0203,0,0.105,0.397,107.02,4
"1376598","2OzhQlSqBEmt7hmkYxfT6m","Fortnight (feat. Post Malone)","Taylor Swift, Post Malone",35,0,-8,"TH","2024-05-09",95,"False",228965,"THE TORTURED POETS DEPARTMENT","2024-04-18",0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4
"321572","3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone",31,0,-4,"PT","2025-03-06",85,"False",180304,"Fireworks & Rollerblades","2024-04-05",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
"168796","5UW6yvwo3nVA609NgprdhK","Супермаркет","Poshlaya Molly",22,1,6,"BY","2025-04-18",64,"True",214418,"8 способов как бросить...","2017-02-24",0.536,0.848,1,-8.317,0,0.0262,0.00619,0,0.0838,0.853,130.073,4
"273208","6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish",17,0,-6,"CA","2025-03-20",98,"False",210373,"HIT ME HARD AND SOFT","2024-05-17",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
"648470","7ADt67nRewsfODDmCuhtQl","ليه بنخبي و مش بنقول","TUL8TE",34,-2,-5,"EG","2024-11-26",60,"False",189320,"كوكتيل غنائي للفنان تووليت حصرياً لحبايب قلبي","2024-07-25",0.747,0.657,10,-8.184,0,0.0471,0.282,0.0131,0.111,0.648,144.209,4
"773847","6bCLkzoE3agC7Ws9NxVxIn","Крепче","KRBK",27,-6,-4,"BY","2024-10-22",63,"False",120111,"Крепче","2016-01-05",0.769,0.31,9,-14.249,0,0.372,0.872,0,0.144,0.71,77.994,4
"1520991","54PRUdMOYzglMGnsg9kIta","Hua Main (From ""ANIMAL"")","Raghav Chaitanya, Manoj Muntashir, Pritam",39,-2,1,"IN","2024-03-29",76,"False",277021,"Hua Main (From ""ANIMAL"")","2023-10-11",0.371,0.664,5,-5.027,1,0.0318,0.566,2.54e-05,0.159,0.672,187.629,3
"1673000","6KgZf5gZgF1KLNxq1qZgHP","Anh Là Ngoại Lệ Của Em","Phương Ly",24,4,-2,"VN","2024-02-14",70,"False",188108,"Anh Là Ngoại Lệ Của Em","2023-10-05",0.844,0.677,6,-5.958,1,0.0564,0.171,2.34e-05,0.387,0.791,111.006,4
"1467538","2InS5VWKJQbsFBKOsf1cJB","Let's Go 4","Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",25,0,-5,"BR","2024-04-13",83,"True",641941,"Let's Go 4","2023-08-29",0.782,0.631,10,-8.473,0,0.592,0.123,0,0.0808,0.866,113.427,5
"1895760","3oUEzTAoOxqZHN4xiqTGqJ","Bécane - A COLORS SHOW","Yamê",27,3,9,"UA","2023-12-15",81,"True",182440,"Bécane - A COLORS SHOW","2023-06-01",0.504,0.527,10,-7.765,1,0.0976,0.333,0,0.0976,0.234,117.866,4
"11213","3mnejDqp3v2ucwt7MlcwsN","BELLYDANCE","Motive",13,-3,-7,"TR","2025-06-08",77,"False",147123,"BELLYDANCE","2025-05-23",0.63,0.561,4,-9.867,0,0.0736,0.243,0.000496,0.285,0.267,120.12,4
"656853","03el79rU07nAtJYgX1v62f","Mfazi Wephepha (feat. Big Zulu & Zee Nxumalo)","Wanitwa Mos, Nkosazana Daughter, Master KG, Big Zulu, Zee Nxumalo",17,2,3,"ZA","2024-11-23",52,"False",291795,"Makhelwane","2024-08-30",0.9,0.564,1,-7.92,1,0.0582,0.0451,0.0192,0.0531,0.516,113.006,4
"2048487","0T2pB7P1VdXPhLdQZ488uH","Normal","Feid",49,1,1,"VE","2023-11-03",84,"True",171880,"FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM","2022-09-14",0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4
"868186","54zcJnb3tp9c5OVKREZ1Is","MI EX TENÍA RAZÓN","KAROL G",23,-1,4,"CR","2024-09-26",85,"False",154374,"MAÑANA SERÁ BONITO (BICHOTA SEASON)","2023-08-10",0.634,0.725,5,-4.945,0,0.0587,0.0776,0,0.211,0.795,159.845,4
"1694356","2m3PVx1gsVB5upxi94IW8I","Жить в кайф","Max Korzh",30,-3,-6,"BY","2024-02-09",62,"False",174344,"Жить в кайф","2013-10-21",0.762,0.822,0,-3.346,1,0.137,0.011,0,0.0858,0.565,127.054,4
"1493533","2Oe52Ggx8lxxI55azZbr5h","Amazwe (feat. Mawhoo)","Kabza De Small, Mthunzi, MaWhoo",20,5,-4,"ZA","2024-04-05",60,"False",463036,"Isimo","2023-10-27",0.806,0.682,10,-9.961,0,0.0537,0.0159,0.00185,0.0548,0.582,112.992,4
"1544186","4YKujFSyakVjLdH1sDllVc","Dois Fugitivos - Ao Vivo","Simone Mendes",39,-1,-10,"BR","2024-03-23",73,"False",173370,"Cintilante (Ao Vivo / Vol.2)","2023-10-20",0.664,0.839,4,-3.379,0,0.0393,0.33,0,0.94,0.48,109.984,4
"1432844","2XRqTHNmMNds7tz6D1NSHz","Culiacan","Engel Montaz, Kuv507, Latinnites Music",31,0,3,"DO","2024-04-24",57,"False",171860,"Culiacan","2023-08-31",0.701,0.567,9,-8.747,0,0.0425,0.477,0,0.0919,0.97,144.99,3
"1505111","09CnYHiZ5jGT1wr1TXJ9Zt","Thank You (Not So Bad)","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",48,-3,-4,"SE","2024-04-02",87,"False",140000,"Thank You (Not So Bad)","2023-12-01",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
"1270902","3lwK3WyKAI5bUuGY1OgGbZ","Smart","LE SSERAFIM",39,1,-6,"SG","2024-06-07",79,"False",166384,"Smart (Remixes)","2024-03-22",0.799,0.675,1,-5.474,1,0.0465,0.115,0,0.0833,0.594,113.076,4
"757529","7bywjHOc0wSjGGbj04XbVi","LUNA","Feid, ATL Jacob",8,-1,2,"NI","2024-10-26",88,"False",196800,"FERXXOCALIPSIS","2023-12-01",0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4
"494779","4h3i4yz7mkw1H9XG9VMkjQ","Vibrador","Engel Montaz",14,0,3,"PA","2025-01-17",71,"True",186666,"Desire","2024-07-10",0.695,0.704,6,-4.788,0,0.267,0.118,0.00261,0.136,0.577,179.873,4
"2095971","04sktg3deiYUweHfbFUZTM","El Amor De Mi Vida","Los Ángeles Azules, Maria Becerra",24,0,26,"UY","2023-10-21",59,"False",184586,"El Amor De Mi Vida","2023-08-18",0.618,0.793,11,-4.013,0,0.0493,0.163,0,0.0822,0.688,88.01,4
"1255145","7jtQIBanIiJOMS6RyCx6jZ","Another Love","Tom Odell",32,2,2,"CH","2024-06-12",59,"True",244360,"Long Way Down","2013-06-17",0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4
"807916","5fqjgdj9SMB4Jjmyc9cY1J","Double Match","Young Leosia, bambi, PG$, francis",49,-6,-12,"PL","2024-10-12",66,"True",144876,"PG$","2024-03-07",0.735,0.433,11,-7.117,1,0.108,0.382,0,0.133,0.382,122.994,4
"2008895","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","Taylor Swift",7,0,-2,"SG","2023-11-14",99,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
"68362","3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish",15,-1,5,"AE","2025-05-24",96,"False",261466,"HIT ME HARD AND SOFT","2024-05-17",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
"427777","1VQx8TpKEv8uWQ1awwPX5f","Emshy","Tommy Gun, Rally",5,0,2,"EG","2025-02-05",61,"False",191508,"El Rwaya","2024-12-23",0.696,0.508,5,-10.824,0,0.0347,0.0147,0.0027,0.298,0.109,123.988,4
"971371","5h1BN75CEh8wdSwE1xrbSe","Slow Dancing","V",8,0,12,"TW","2024-08-28",81,"False",187026,"Layover","2023-09-08",0.579,0.63,8,-7.758,1,0.058,0.257,0.00462,0.0986,0.552,155.96,4
"1430585","3rUGC1vUpkDG9CZFHMur1t","greedy","Tate McRae",22,28,-2,"BG","2024-04-25",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
"266240","34nRREax6dS5rV7QJO3q9K","Снайпера","Alex Robov, Tedi Aleksandrova",49,1,1,"BG","2025-03-22",46,"False",194666,"Снайпера","2024-12-14",0.593,0.927,6,-3.901,0,0.181,0.114,0,0.484,0.831,180.228,4
"1199957","09CnYHiZ5jGT1wr1TXJ9Zt","Thank You (Not So Bad)","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",44,-1,1,"EE","2024-06-27",84,"False",140000,"Thank You (Not So Bad)","2023-12-01",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
"1428680","1xgWArLVFD1AKsLzftZYc2","Elvira","Oscar Maydon, Gabito Ballesteros, Chino Pacas",17,-1,-1,"MX","2024-04-25",86,"True",196832,"DISTORSIÓN","2023-12-22",0.76,0.711,1,-6.966,1,0.0646,0.0812,0,0.0921,0.798,128.134,3
"1704887","5dNSfOZb6AlEF0Xg6C970o","Uden Dig","Ukendt Kunstner",16,-1,-6,"DK","2024-02-06",66,"False",191341,"Dansktop","2023-05-12",0.732,0.737,1,-7.234,0,0.115,0.31,0.000223,0.0906,0.88,163.084,4
"892519","5PTL6Kn0n4rEmhWQP3NqEb","INZM","Number_i",6,4,13,"JP","2024-09-19",75,"False",210641,"INZM","2024-08-19",0.758,0.812,0,-5.009,1,0.219,0.0115,0,0.288,0.562,113.006,4
"1290076","7iabz12vAuVQYyekFIWJxD","BAND4BAND (feat. Lil Baby)","Central Cee, Lil Baby",13,-1,37,"LV","2024-06-02",86,"True",140733,"BAND4BAND (feat. Lil Baby)","2024-05-23",0.882,0.764,11,-5.241,1,0.204,0.359,0,0.119,0.886,140.113,4
"381431","3hjG2x6wWyJ84ue7GESTVR","DAMME 'NA MANO","Tony Effe",47,-4,3,"CH","2025-02-18",53,"False",178571,"ICON","2024-12-09",0.71,0.676,4,-7.18,0,0.0499,0.426,0.000147,0.11,0.423,125.966,4
"826205","3QBxB5xZL0yeRDr8gZym4r","TBT","LH, Robi Guid, Valentino GRM",39,3,11,"PA","2024-10-07",39,"True",289103,"TBT","2024-09-26",0.475,0.621,5,-6.467,0,0.428,0.411,0,0.307,0.392,64.865,3
"83145","5XIoRdNKbhG3uFDB0UXWuw","Наследство","Icegergert, SKY RAE",48,-11,2,"UA","2025-05-19",62,"True",130778,"Наследство","2025-04-25",0.861,0.716,11,-4.071,1,0.234,0.0662,0,0.179,0.593,83.486,4
"1259182","16f4ZN6XOfrIO8fJkm28HM","Wunder","AYLIVA, Apache 207",19,1,1,"AT","2024-06-11",78,"True",176492,"Wunder","2024-04-26",0.857,0.687,10,-5.777,0,0.0785,0.109,0.000577,0.0971,0.531,99.969,4
"1887600","7fUYUcWy853HS8YJn0b3Sr","Sleigh Ride","The Ronettes",17,10,2,"CH","2023-12-18",83,"False",181266,"Sleigh Ride","2020-12-04",0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,4
"1433609","6rgF7lJWhf0jR5ZEJk3cY5","ที่รักใจเย็น","YENTED, BlackHeart, Williams",46,-1,2,"TH","2024-04-23",64,"False",203225,"URDAWG","2024-02-10",0.733,0.716,7,-5.408,1,0.0333,0.175,0.000798,0.267,0.819,123.969,4
"568070","2Ug8JxGX2SIRfsYogycZJc","Seireeni","Mirella",34,-1,15,"FI","2024-12-28",58,"False",222480,"Kunpa oisin kertonut","2024-10-31",0.533,0.676,4,-5.442,0,0.0339,0.0904,0.000207,0.103,0.195,89.989,4
"1317057","2kz1YOhJiNubjigR1gB1VX","DILUVIO","Rauw Alejandro",44,-1,-5,"CR","2024-05-26",86,"True",197052,"PLAYA SATURNO","2023-07-07",0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,4
"1485551","5YJ4BVvTFmVCxUyhKejHfR","Pa' Que Retozen","Tego Calderón",38,0,-7,"CO","2024-04-08",81,"True",151666,"El Abayarde","2003-07-01",0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,4
